,review,target
0,"TENGO QUE DECIR QUE MUCHAS PERSONAS HAN ARGUMENTADO QUE ALGUNOS DE NOSOTROS NECESITAMOS OBTENER CON LOS TIEMPOS PORQUE LA NUEVA PELÍCULA ""DUKES"" ES UNA VERSIÓN MODERNIZADA. OH POR FAVOR. SI ESTO ES LO QUE CONSIDERA MODERNIZADO, HOLLYWOOD PUEDE MANTENERLO. MUCHAS PERSONAS EN EL SITIO DE MSN TAMBIÉN HAN DICHO QUE (Y CITO) ""USTEDES VIEJAS NIEBLA NECESITAN SUPERARLO Y EXCEPTO LO QUE LO ES"". BUENO, DÉJAME DECIRTE ALGO, TENGO 24 AÑOS, ASÍ QUE SOY UN LARGO CAMINO POR SER Y VIEJO FOGIE, Y NO LO SUPERARÉ, FUE UNA DESGRACIA PARA TODO LO QUE ES EL CONDADO DE HAZARD. LO ÚNICO JUSTO EN EL TÍTULO DE LA PELÍCULA FUE ""HAZZARD"". FUE TODA LA PROFANIDAD, FUMANDO Y BEBIENDO REALMENTE NECESARIO. EL ELENCO ERA TERRIBLE. JESSICA HA ESTADO EN VARIOS ESPECTÁCULOS DE LA MAÑANA PARA DISCUTIR LA PELÍCULA Y, FRANCAMENTE, CREO QUE TODO SE HA IDO A SU CABEZA. ELLA NO ES DE NINGUNA MANERA UN DUQUE DE MARGARITA, TAL VEZ UNA CASUALIDAD, PERO DEFINITIVAMENTE NINGÚN DUQUE. AMO A SEAN WILLIAMS SCOTT, PERO NO COMO BO. DEBERÍAN HABER INCLUIDO EL ELENCO ORIGINAL COMO AL MENOS LOS CAMPEONES, PERO INCLUSO HOLLYWOOD SABÍA QUE NO APROBARÍAN EL GUIÓN. ME REFIERO A VENIR A LA GENTE, INCLUSO LOS ACTORES Y ACTRICES DE HOY ESTÁN EXPRESANDO UNA OPINIÓN NEGATIVA, ASÍ QUE ¿POR QUÉ ALGUNOS DE USTEDES ESTÁN DANDO COMENTARIOS POSITIVOS?",0
1,"SPOILER: EL JOVEN AMANTE, JED, ES EXPULSADO POR LA SPINTER, KATE (ANDIE MCDOWELL), PORQUE CREE ERRÓNEAMENTE QUE JED ESTÁ TENIENDO UN ASUNTO CON UNA DE SUS DOS NOVIAS CATTY.KATE PENSÓ QUE LAS ATRAPÓ EN FLAGRANTE DELITO.KATE LANZA LOS ZAPATOS DE JED POR LA PUERTA.JED SE VA A REGAÑARSE, Y LUEGO SE SIENTA EN MEDIO DE LA CARRETERA PARA PONER SUS ZAPATOS.LUEGO SE HACE CORRER (""APLASTADO"", UNO DEL SIGNIFICADO DEL TÍTULO) POR UN CAMIÓN.Y MUERE. ""Y LUEGO SE HACE CORRER POR UN CAMIÓN"".¿PUEDE IMAGINAR QUE UN GUIONISTA EN REALIDAD ENVÍE UN SCRIPT CON ESTE ELEMENTO DE LA TRAMA?HASTA ENTONCES, ES UNA COMEDIA QUE PRETENDE SER ESPUMOSA, PERO CARECE DE UN FIZZ REAL.TODO EL MUNDO, EXCEPTO JED, ES SIMPLEMENTE MOLESTO.Y LUEGO MATAN A JED, Y TODOS ESTÁN TRISTES, HASTA EL FINAL DONDE LAS CHICAS APRENDEN A AMARSE ENTRE SÍ Y APOYARSE, EN LUGAR DE DESTRUCTIVAS.LE DOY 2 UGH'S.",0
2,"VI ESTA PELÍCULA EL FIN DE SEMANA PASADO Y ES TONTO Y SIN SENTIDO.¿UNA ANTIGUA MALDICIÓN CONVIERTE A UN HOMBRE EN UNA MOMIA EN SU PIJAMA?LAS VÍCTIMAS TIENEN MIEDO SIN SENTIDO Y NO PUEDEN CORRER DESDE UN ANCIANO DE MOVIMIENTO LENTO.DEJAN CAER SUS ANTORCHAS Y TEMBLARON EN LUGAR DE INTENTAR SALVARLO O, DUH, QUEMARLO.EL ALIAS DE QUENTIN, EL SR. FABERSHAM, DE LOS RECIÉN CASADOS, ESTÁ CASADO CON DIANE BREWSTER ALIAS MISS CANFIELD DE DEJARLO A BEAVER FAME, QUE ESTÁ INFELIZ EN EL MATRIMONIO.GUAU, PARCELA DE AMOR.EL RESTO DEL ELENCO SIMPLEMENTE SE SIGUE ENTRE SÍ EN LAS TUMBAS Y ESPERA A LOS GRITOS PARA REACCIONAR Y CORRER A SU AYUDA.LA NIÑA EGIPCIA NO ES MALA, PERO NO PRESTA MUCHO A LA PELÍCULA.¿DÓNDE ESTÁ LA MOMIA?REALMENTE SOLO UNA MALDICIÓN DESATADA.ESTO NO MANTIENE UNA ANTORCHA A LAS PELÍCULAS UNIVERSALES DE LA MOMIA EN LO MÁS MÍNIMO. A CONTINUACIÓN, ESTA PELÍCULA, SI NECESITA DORMIR, YA QUE SE DOSIFICARÁ.",0
3,"CUANDO COMENCÉ A VER ESTO, AL INSTANTE ME DI CUENTA DE QUE NO PODÍA ENTENDER LO QUE ALGUIEN ESTABA DICIENDO. ENCENDÍ EL VOLUMEN. CON LOS RUIDOS DE FONDO AHORA EN AUGE, PUDE ESCUCHAR LAS VOCES. ¿QUÉ DICEN LOS ACTORES? ¿LA PELÍCULA NO ES APODADA? ¿ESTÁN HABLANDO ESPAÑOL? DESPUÉS DE CIERTA CONFUSIÓN, ME DOY CUENTA DE QUE ERA EL INGLÉS. AL MENOS, CREO QUE ... EL INCREÍBLE JESS FRANCO HA COLOCADO LOS MICRÓFONOS DEMASIADO ALEJADOS DE LOS ACTORES. COMO RESULTADO, NO PODEMOS ESCUCHAR COMPLETAMENTE LO QUE ESTÁN DICIENDO. HA HECHO ESTO ANTES. PERO TAL VEZ ESTA ES LA INTENCIÓN DEL SR. FRANCO? AL NO SABER LO QUE DICE LA GENTE, SOMOS ARROJADOS A ALGÚN MISTERIO SOBRE LO QUE ESTÁ SUCEDIENDO, Y SE QUEDA CON MÁS PISTAS VISUALES ... TAL VEZ ES SOLO YO, PERO ME HUBIERA GUSTADO SABER QUÉ ESTABA PASANDO! ¿QUÉ TAL UNOS POCOS CONSEJOS? LA PREMISA BÁSICA (ME NIEGO A LLAMARLO UNA ""PARCELA"") SE REFIERE A UN JOVEN BAILARÍN EXÓTICO ESTADOUNIDENSE LLAMADO PAULA (INTERPRETADO POR AMBER NEWMAN) QUE TIENE UN NOVIO QUE LE INVITA A UNA PEQUEÑA ISLA PROPIEDAD DE ALGUNOS RICOS EN ESCOCO. ESTÁ EN ALGÚN LUGAR DE LA COSTA DE ESPAÑA. PARA ESTA VISITA, SE PROMETE UN GRAN PAGO EN EFECTIVO A PAULA, QUE RECIBE EL NOVIO. LUEGO SE ESCAPA DE LA ISLA, SOLO PARA VOLVER MÁS TARDE. ¿POR QUÉ? PRESTE MUCHA ATENCIÓN A LA ESCENA DONDE EL NOVIO ABRE EL PASAPORTE ESTADOUNIDENSE DE PAULA. AUNQUE SU MANO INTENTÓ CUBRIRLA, PUEDES VER EL NOMBRE REAL DE LA ACTRIZ, AMBER NEWMAN, IMPRESO DEBAJO DE LA FOTO EN LA PARTE INFERIOR DEL PASAPORTE! DE TODOS MODOS, DE VUELTA A LA ""HISTORIA"": HAY ALGUNOS OTROS PERSONAJES SLEAZISTAS, RICOS Y HERMOSOS QUE VISITAN LA ISLA, TODOS CON MOTIVOS AMBIGUOS. TESTAMOS JUEGOS SÁDICOS (¿SON REALES O FALSOS?) Y ESCENAS DE COMIDAS POCO ATRACTIVAS. ¡PERO LA COMIDA DEBE SER BUENA, YA QUE UN CHEF FRANCÉS FALSO LO PREPARÓ! HAY UN SIRVIENTE DE MUJER JOVEN QUE CORRE DESNUDA Y NUNCA HABLA. ¿ESTÁ REALMENTE MUDA? ¿Y NOS PREOCUPAMOS? POR SUPUESTO, TODAS LAS MUJERES ESTÁN DESNUDAS EN SU MAYORÍA A LO LARGO DE ESTA PELÍCULA ... OH, BUENO, ¡AL MENOS PODEMOS ESTAR AGRADECIDOS DE QUE LOS HOMBRES (50+ Y SOBREPESO) PERMANEZCAN VESTIDOS! ADEMÁS DE LA CALIDAD DEL SONIDO ABISMAL, LO QUE SIEMPRE HE MARAVILLADO SOBRE JESS FRANCO ES SU INCREÍBLE HABILIDAD PARA FILMAR HERMOSAS MUJERES DESNUDAS DE TAL MANERA QUE DEJA AL ESPECTADOR COMPLETAMENTE APAGADO. ESTA PELÍCULA NO ES UNA EXCEPCIÓN, NECESITABA AIRE FRESCO DESPUÉS DE VERLO. EN CONCLUSIÓN: ME COMPLACE INFORMAR QUE, INDEPENDIENTEMENTE DE LO QUE EL SR. FRANCO PUEDA SOÑAR, TODAVÍA ME SIENTO ATRAÍDO POR LAS MUJERES.",0
4,"CUALQUIER ESTUDIANTE DE LA ESCUELA DE CINE PODRÍA HACER UNA PELÍCULA 1,000 VECES MEJOR QUE LA PIEZA DE BASURA.COMO ALGUIEN QUE HABÍA LEÍDO EL LIBRO, ESPERABA QUE INCLUSO UNA REMODELACIÓN DIRECTA DEL LIBRO HICIERA QUE ESTA UNA PELÍCULA JUSTA.HUBO UNA POSIBILIDAD DE QUE UN CONSEJERO TALENTOSO PUDIERA IR MÁS ALLÁ DE LA NARRATIVA DE WOODWARD Y HACER UNA GRAN PELÍCULA. BUENO, EL DIRECTOR FUE MÁS ALLÁ DE LA NARRATIVA DE WOODWARD.AÑADIÓ UN ÁNGEL DE HIP HISPANIC LLAMADO VELÁSQUEZ QUE NO ESTABA EN EL LIBRO.ÉL TENÍA A BOB WOODWARD ENTREVISTA A LOS MUERTOS BELUSHI EN UN INTERCAMBIO EN LA MORGUE.LA PELÍCULA TENÍA TODA LA IDEA DE QUE ALGUIEN APEDREÓ A PCP MIRANDO SU OMBLIGO. SI ESTE ES UN SPOILER PARA TI, ME LO AGRADECERÁS PORQUE ES ABSOLUTAMENTE LA PEOR PELÍCULA.",0
5,"ESTA PELÍCULA INTENTA SU MAYOR PARA CAPTURAR QUE LA MALA SENSACIÓN DE CINE CANADIENSE: ""PECULIAR"" Y PERSONAJES DETESTABLES (UNOS POCOS); PUEBLO ""PECULIAR"" CON LA GENTE ""PECULIAR""; UNA CAFETERÍA ""PECULIAR"" O RESTAURANTE (CAFETERÍA AQUÍ); MUCHAS TOMAS DE COSAS CANADIENSES PARA POSTALES (COSAS DEL OCÉANO AQUÍ); MUCHA MENCIÓN DE ""TENGO QUE SALIR DE ESTA CIUDAD""; SIN EMBARGO, A PESAR DE QUE LOS CONTIGOS SE TRIUNFAN. NO PUDE AVERIGUAR SI ESTA PELÍCULA ESTABA TRATANDO DE SER UNA EXPOSICIÓN POST-NORTE ""PECULIAR"" DE COMEDIA O ALGO SURREALISTA COMO UNA ALUCINACIÓN PSICÓTICA INDUCIDA POR LAS DROGAS O PSICÓTICA. LA EDICIÓN DE ESTA PELÍCULA SALTÓ ALREDEDOR SIN SENTIDO DE UNA COSA NO RELACIONADA A OTRA CON ESTIMULACIÓN CERO O MOTIVACIÓN. SIN MENCIONAR EL HECHO DE QUE LA MITAD DEL TIEMPO NI SIQUIERA SABÍAMOS A DÓNDE ESTÁBAMOS SALTANDO. TOMEMOS, POR EJEMPLO, LOS TIROS DE APERTURA, DE GRITOS ADOLESCENTES EN UN AUTOMÓVIL. ¿QUIÉNES SON ELLOS Y CUÁLES TIENEN QUE VER CON CUALQUIER COSA? Y ESTA PARCELA SUB-UH (USE ESA PARCELA DE PALABRA SOLITARIO) QUE CONCIERNE A LOS NIÑOS QUE PARECEN ABARCAR GENERACIONES. NO CREO QUE REALMENTE LO HAGAN, PERO LA EDICIÓN LO HACE PARECER QUE SE MATERIALIZAN DE FLASHBACK, DE REPENTE, A LA HORA ACTUAL. ¿EH? ¿QUÉ EXTRAÑO? EVITAR. A MENOS QUE SE RÍEN. O QUIERES INTENTAR SALIR DE LA EDICIÓN INEPT.",0
6,"COMO DE COSTUMBRE, OTRA OBRA MAESTRA EN LA SERIE VICE ACADEMY (JAJAJA).NO SÉ POR QUÉ INCLUSO SE MOLESTAN EN HACER ESTA BASURA.SOLO OTRA SERIE DE POLICÍAS ACTUANDO CACHONDA.UNA PARTE DEFINITIVA FUE CUANDO EL PERSONAJE DE JENGIBRE LYNN ALLEN (HOLLY WELLS) Y EL PERSONAJE DE ELIZABETH KAITAN (DULCES) TRATARON DE SEDUCIR AL CIENTÍFICO AL USAR NADA MÁS QUE SU SOSTÉN Y LA ROPA INTERIOR BAJO SUS LABADO.SÓLO UNA MARAVILLOSA ESCENA (HA).UN PERSONAJE QUE NO ME GUSTÓ FUE EL COMISIONADO.ERA MUY MOLESTO E IGNORANTE.DEBERÍAN HABERLO ARRESTADO.LA SRA. DEVONSHIRE TAMBIÉN FUE BASTANTE MOLESTA.DEBERÍAN HABER DETENIDO ESTA SERIE DESPUÉS DE ESTA PELÍCULA.",0
7,"DE 2002 EN EL CINE HOLANDÉS FINALMENTE MEJORÓ NUEVAMENTE. ESTA PELÍCULA SIGUE SIENDO PARTE Y UN EJEMPLO DE COLEGIALA DEL MAL ESTADO DE CINE HOLANDÉS. LA HISTORIA SE DICE INNECESARIAMENTE EN ESTILO FLASHBACK. TODAS LAS SECUENCIAS 'ACTUALES' ESTABLECIDAS EN FRANCIA SON COMPLETAMENTE REDUNDANTES Y NO AGREGAN NADA A LA HISTORIA, LAS EMOCIONES O EL PODER. POR ALGUNA RAZÓN, LOS CINEASTAS EUROPEOS A MENUDO LES RESULTA NECESARIO DECIRLE A LA HISTORIA NO CRONOLÓGICA. NUNCA ENTENDÍ POR QUÉ, O CUÁL ES LA APELACIÓN DE ELLA. LA HISTORIA, TAMBIÉN ES EXACTAMENTE LA MÁS GRANDE. NO SIEMPRE ESTÁ CLARO, LA PELÍCULA ESTÁ TRATANDO DE IR Y QUÉ TRATA DE DECIRLO. LA HISTORIA DE UN JOVEN CHICO INEXPERTADO ENAMORARSE DE UNA JOVEN SALVAJE, QUE MÁS TARDE RESULTA SER BASTANTE PSICÓTICA PODRÍA SONAR LO SUFICIENTEMENTE BUENO EN EL PAPEL E INCLUSO MUESTRA ALGUNOS PARALELOS A LA ""FRUTA TURCA"" DE PAUL VERHOEVEN, A LA QUE SE COMPARÓ A MENUDO ESTA PELÍCULA. ANTES Y EN EL MOMENTO DE SU LANZAMIENTO. SIN EMBARGO, EL RESULTADO FINAL ESTÁ LEJOS DE SER COMPARABLE. LA HISTORIA NO PUEDE CAPTURAR LAS EMOCIONES CORRECTAS, QUE TAMBIÉN SE DEBE A LAS ACTUACIONES UNIMAGINATIVAS DE LOS ACTORES. LA FORMA EN QUE SE LE DICE LA HISTORIA, TAMBIÉN HACE QUE LA PELÍCULA SEA MUY INTERESANTE O CONVINCENTE. PERDÍ INTERÉS POR ESTA PELÍCULA A UNOS 40 MINUTOS A TRAVÉS DE LA PELÍCULA. EN LA HORA EN QUE SE HIZO ESTA PELÍCULA, TANTO ANTONIE KAMERLING COMO ANGELA SCHIJF ERAN PROMETEDORAS ESTRELLAS CRECIENTES, CON UN GRAN POTENCIAL Y AMBICIONES, PERO TANTO SUS CARRERAS SE HAN SECADO BASTANTE. ANGELA SCHIJF PARECE DARLE MÁS ATENCIÓN A SU FAMILIA QUE SU CARRERA (ESO NO ES ALGO MALO, POR SUPUESTO), MIENTRAS QUE ANTONIE KAMERLING INTENTÓ COMENZAR UNA CARRERA EN HOLLYWOOD. ÉL NUNCA OBTUVO MÁS QUE JUGAR ALGUNAS PIEZAS DE BITS PEQUEÑAS EN 2 FLOPS RENNY HARLIN. PARA SER HONESTO, NO ME SORPRENDE. NO ES QUE SEA UN MAL ACTOR Y CIERTAMENTE TIENE LA MIRADA CORRECTA, PERO SU INGLÉS SIMPLEMENTE NO ES LO SUFICIENTEMENTE BUENO, PARA PONERLO SUAVEMENTE. SOLO ESCÚCHELO A HABLAR INGLÉS AL PRINCIPIO DE ESTA PELÍCULA Y ENTENDERÁS LO QUE QUIERO DECIR. REALMENTE NO SON ACTORES MALOS, PERO POR ALGUNA RAZÓN NO SE MUESTRAN EN ESTA PELÍCULA. PROBABLEMENTE TAMBIÉN SE DEBE AL DIÁLOGO DEFICIENTE. TODAVÍA ME GUSTÓ BEAU VAN ERVEN DORENS. HA SIDO CRITICADO MUCHO, PERO SU ACTUACIÓN PARECE MUY NATURAL. ÉL SIEMPRE MANTIENE A LOS PERSONAJES CERCANOS A QUIEN ÉL MISMO ES. DE NINGUNA MANERA ES UNA DE LAS PEORES PELÍCULAS JAMÁS HECHAS, PERO TAMPOCO LO RECOMENDARÍA. LA NARRACIÓN MALA Y POCO INTERESANTE HACE QUE ESTO SEA UNA MALA PELÍCULA.4 / 10",0
8,"ESTA PELÍCULA ES TERRIBLE.TERRIBLE.UNA DE LAS PEORES PELÍCULAS DE LA HISTORIA.NI SIQUIERA PUEDO IMAGINAR QUE GIGLI SEA PEOR QUE ESTO.LAS VISTAS PREVIAS NOS HICIERON DECIR ""NO"", PERO LUEGO BUSCAR ALGO EN MEDIO DE LA DRECK, AHORA, DECIDIMOS SEGUIR ADELANTE Y DARLE UN DISPARO. SISTOPID US.AFFLECK NO ES UN ACTOR.ES UNA IMAGEN Y PUEDE VERSE BIEN CON LAS EXPLOSIONES, PERO NI SIQUIERA EL TIPO BRUCE WILLIS SE PUSO EN ""DIE HARD"".SI SE DESPOJABA DE SU CAMISA Y CORRÍA POR LUCHAR CONTRA MALOS, SERÍA UNA COMEDIA. LA MEJOR PARTE ERA CATHERINE O'HARA, ELLA SIEMPRE ES BUENA.LOS FLOPS DE GANDOLFINI DE NUEVO (SI NO FUERA POR LOS SOPRANOS, SERÍA LAVADO) COMO LO HIZO EN ""EL MEXICANO"" .FFLECK HOGS CADA ESCENA Y COMO OTROS HAN DICHO: NINGÚN PERSONAJE TIENE NINGUNA MOTIVACIÓN PARA SUS ACCIONES.EVITA ESTA PELÍCULA A TODA COSTA.",0
9,"35 AÑOS DESPUÉS DE ESTO SE HIZO, CASTRO TODAVÍA REINA.DESAFORTUNADAMENTE, NOS QUEDAMOS RASCANDO NUESTRAS CABEZAS PREGUNTÁNDOSE CÓMO EL MANÍACO INTESTIMILITADO JUGADO POR LA PALANCA JACK DE MASTICACIÓN DE PAISAJES LO HIZO HASTA 1960. ME TROPEZÓ CON ESTO RECIENTEMENTE, Y ME DIVERTÍ DE NOTAR EL INCOMPARABLE SID HAIG Y ""B""PELÍCULA FAVORITA PAUL (INTOCABLES) PICERNI ENTRE LOS REBELDES.FLEISCHER OBVIAMENTE ESTABA BIEN MÁS ALLÁ DE SU MEJOR MOMENTO CUANDO DIRIGIÓ ESTA TONTERÍA.ALGUNAS DE LAS LÍNEAS SON CLÁSICAS EN UN ""¿REALMENTE DIJO ESE TIPO DE CAMINO?""LA OTRA COSA QUE SOLO NOTÉ ES QUE LA PUNTUACIÓN Y EL SONIDO (NO EL DIÁLOGO) SON REALMENTE EXCELENTES, LOS ÚNICOS ELEMENTOS DE PRIMERA CLASE DE TODA LA PRODUCCIÓN. ENTONCES, NO VEA ESTO PARA APRENDER NADA SOBRE LA HISTORIA O LA ACTUACIÓN, PEROSI TIENES GANAS DE VER ESTO COMO UN GOOF, TRAE LAS CERVEZAS Y DIVIÉRTETE.",0
